formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
La55Al25Ni15Cu5,-5.108009551,473.6,899.6,541.2,0.52646,0.39412,0.18532
La55Al25Ag5Cu15,-4.537873438,452,860,503,0.5256,0.3834,0.209582093
La55Al25Ni5Cu15,-4.537873438,459.1,878.1,520,0.52283,0.38887,0.19623
La55Al25Ni20,-5.108009551,491,941,555,0.52179,0.38757,0.19893
La55Al20Ag5Cu20,-4.537873438,429,823,503,0.5213,0.4018,0.167579978
Pd64.5Cu19Si16.5,-5.27466495,640,1234.3,,0.519,,
Mg80Ni10Nd10,-2.263728027,454,878,471,0.51708,0.3536,0.28222
Ca55Mg10Cu35,-2.67684145,397,770,422,0.51558,0.36161,0.260382763
Ag35Ca65,-2.5935503,447,868,437,0.515,0.332,0.343035386
Sr75Zn25,-1.462754588,380,738,,0.515,,
Ca65Mg25Zn10,-1.887705263,387,759,405,0.50988,0.3534,0.28015913
La55Al25Cu20,-4.537873438,456,896,495,0.50893,0.36612,0.24666
Au35Ca65,-3.159280611,567,1116,,0.508,,
Ca70Mg20Cu10,-1.875964028,356,702,385,0.50712,0.36389,0.251705303
Mg35Sr65,-1.671003602,383,756,,0.507,,
Ca60Mg25Zn15,-1.82594418,377,744,409,0.50672,0.36485,0.249146673
Ca55Mg25Zn20,-1.82594418,375,751,418,0.49933,0.37123,0.231053604
La55Al17.5Ag7.5Cu20,-4.537873438,425,852,498,0.4988,0.39,0.187789901
Ti63Be37,-6.471535437,673,1353,673,0.49741,0.33218,0.33564
Ce68Al10Cu20Fe2,-4.352565603,352,708,423,0.497175141,0.399056604,0.096783626
Al35Sr65,-2.129672648,490,993,,0.493,,
Al40La45Ni15,-5.108009551,540,1097,600,0.492,0.367,0.24
Pd75Si25,-5.844767106,656,1343,656,0.48846,0.32816,0.34367
Mg77Ni18Nd5,-2.263728027,429,887,437,0.48365,0.33207,0.32972
Al85Co5Y10,-4.548023915,591.36,1232,587,0.48,0.321933134,0.358778949
Ce65Al15Cu20,-4.352565603,363,772.3404,425,0.47,0.374337063,0.214661865
Ce70Al15Cu15,-4.679934366,364,774.4681,406,0.47,0.356619571,0.257095942
Au77Si9.4Ge13.6,-3.555747098,293,625,,0.469,,
Y60Fe30Al10,-6.298081825,572,1225.4,,0.467,,
Au77.8Si8.4Ge13.8,-3.555747098,293,629,293,0.46582,0.31779,0.36443
Mg90Ni5Nd5,-1.83504342,426,919,449,0.46355,0.33383,0.31532
Al86.5Co4.5Y9,-4.548023915,543,1231,563,0.44,0.317361894,0.352300148
Al88Co4Y8,-4.548023915,511.27,1189,507,0.43,0.298187935,0.407023489
Ca65Cu35,-2.67684145,438,1033,441,0.424,0.3,0.397684023
Al85Ni5Y10,-3.993672355,537,1249,560,0.42,0.314,0.358
Ca65Mg35,-1.887705263,411,987,414,0.417,0.296,0.404770791
Al86.5Ni4.5Y9,-4.548023915,505,1222,526,0.41,0.305,0.375
Al88Ni4Y8,-4.548023915,464,1189,465,0.39,0.281,0.436
Al89.5Co3.5Y7,-4.548023915,463.32,1188,460,0.39,0.278565027,0.446066312
Pd95Si5,-5.17671826,647,1688,647,0.38329,0.27709,0.44582
Al89.5Ni3.5Y7,-4.548023915,424,1146,428,0.37,0.273,0.451
Fe91B9,-8.24384882,600,1628,600,0.36855,0.2693,0.4614
Al25Au20La55,-4.71602974,531,,577,,,
Al28.5Ca56.5Mg15,-2.810043724,503,,528,,,
Al30Ca60Cu10,-2.627357434,498,,519,,,
Ca57Mg19Cu24,-2.302321718,404,,440,,,
Ca63Al32Ag5,-2.627357434,503,,527,,,
Ca67Mg19Cu14,-1.875964028,387,,407,,,
Ce70Al10Cu20,-4.352565603,341,,401,,,0.168000357
Mg65Cu15Ag5Pd5Y10,-2.856289631,437,,471,,,
Mg65Cu20Zn5Y10,-2.856289631,404,,456,,,
Mg80Cu10Y10,-2.385871622,427,,448,,,
