formula,PROPERTY: Nearest DFT Formation Energy (eV),PROPERTY: Tg (K),PROPERTY: Tl (K),PROPERTY: Tx (K),PROPERTY: Trg,PROPERTY: $\gamma$,PROPERTY: $\omega$
Cu40Zr44Ag8Al8,-6.262430371,693,1176,791,0.5893,0.4232,0.134533371
Cu40Zr60,-6.466345613,646,1248,707,0.518,0.373,0.231565772
Cu42Zr42Ag16,-6.262430371,685,1232,757,0.556,0.3949,0.190229798
Cu42Zr42Ag8Al8,-6.262430371,705,1213,780,0.5812,0.4067,0.168705188
Cu43Zr40Ag7Ti10,-6.262430371,656,1095,707,0.5991,0.4038,0.178577806
Cu43Zr43Ag7In7,-6.262430371,704,1135,748,0.6203,0.4067,0.175543307
Cu43Zr43Ag7Ti7,-6.262430371,670,1118,714,0.5993,0.3993,0.188935913
Cu43Zr43Al7Ag7,-6.262430371,710,1125,797,0.63111,0.43433,0.116998748
Cu43Zr43Al7Be7,-6.262430371,710,1126,813,0.63055,0.44281,0.099890121
Cu44Zr44Ag12,-6.262430371,684,1156,764,0.5917,0.4152,0.15180957
Cu44Zr44Ag6Al6,-6.262430371,698,1144,790,0.6101,0.4289,0.125672347
Cu45Ag15Zr30Ti10,-4.766611055,687,1121,717,0.61285,0.39657,0.198204269
Cu45Ni5Ag10Zr30Ti10,-5.968889323,710,1160,738,0.61207,0.39465,0.202699964
Cu45Zr15Ag10Hf30,-6.574756138,712,1275,799,0.5584,0.4021,0.174456133
Cu45Zr25Ag10Hf20,-6.574756138,698,1218,783,0.5731,0.4087,0.16284258
Cu45Zr35Ag10Hf10,-5.865047306,690,1171,769,0.5892,0.4132,0.155731705
Cu45Zr45Ag10,-6.262430371,683,1159,756,0.5893,0.4104,0.161854202
Cu45Zr45Ag3Al7,-6.262430371,708,1177,786,0.6015,0.417,0.149570732
Cu45Zr45Ag5Al5,-6.262430371,697,1147,783,0.6077,0.4246,0.134201168
Cu45Zr45Ag7Al3,-6.262430371,688,1151,768,0.5977,0.4176,0.147601476
Cu45Zr45Al10,-6.262430371,706,1159,776,0.61,0.416,0.153
Cu45Zr48Al7,-6.262430371,708,1186,766,0.59696,0.40444,0.176656597
Cu45Zr55,-6.466345613,661,1203,729,0.549,0.391,0.197494069
Cu46.4Ag11.6Zr35Ti7,-4.766611055,689,1119,732,0.61573,0.40487,0.179089509
Cu46Zr37Al7Y10,-5.865047306,665,1118,743,0.59481,0.41671,0.149086843
Cu46Zr42Al7Y5,-6.262430371,672,1113,772,0.60377,0.43249,0.117525385
Cu46Zr46Ag8,-6.262430371,677,1167,745,0.5801,0.404,0.174450046
Cu46Zr46Al8,-6.262430371,701,1155,783,0.61,0.422,0.14
Cu46Zr47Al7,-6.262430371,705,1163,781,0.60619,0.41809,0.147869934
Cu46Zr54,-6.466345613,696,1201,746,0.57952,0.39325,0.199187316
Cu47Ni13Zr30Ti10,-5.464398875,727,1251,754,0.58114,0.38119,0.229105572
Cu47Ti33Nb11Ni8Si,-6.23524658,710,1265,732,0.56126,0.37063,0.250959922
Cu47Ti33Zr11Ni2Sn6Si,-5.968889323,688,1181,809,0.582403906,0.432977825,0.113943561
Cu47Ti33Zr11Ni4Sn4Si,-5.968889323,673,1108,810,0.607733948,0.454937139,0.074885319
Cu47Ti33Zr11Ni8Si,-5.968889323,720,1157,757,0.6223,0.4033,0.183941874
Cu47Ti33Zr11SiNi6Sn2,-5.968889323,720,1140,765,0.63158,0.41129,0.166983936
Cu47Ti33Zr11Sn8Si,-5.968889323,699,1333,805,0.524188612,0.395947276,0.18075693
Cu47Ti33Zr3Nb8Ni8Si,-5.56920782,708,1228,731,0.57655,0.37758,0.237129781
Cu47Ti33Zr5Nb6Ni8Si,-5.56920782,712,1187,739,0.59983,0.38915,0.213597625
Cu47Ti33Zr7Nb4Ni8Si,-5.56920782,713,1172,736,0.60836,0.39045,0.212251136
Cu47Ti33Zr9Nb2Ni8Si,-5.56920782,728,1159,762,0.62813,0.40382,0.183786367
Cu47Zr43Al7Ag3,-6.262430371,716,1156,795,0.61938,0.42468,0.135672324
Cu47Zr43Al7Be3,-6.262430371,715,1139,798,0.62774,0.43042,0.12468517
Cu47Zr47Al6,-6.262430371,701,1165,770,0.6,0.413,0.159
Cu48Zr48Ag4,-6.262430371,681,1199,743,0.568,0.3952,0.192086055
Cu48Zr48Al4,-6.262430371,689,1188,751,0.58,0.4,0.183
Cu48Zr52,-6.262430371,689,1207,749,0.571,0.395,0.193099942
Cu49.4Zr41.99Ti7.41Sn0.6Si0.6,-6.262430371,682,1141,734,0.5977,0.4026,0.180936527
Cu49.5Zr42.075Ti7.425Si,-6.262430371,683,1141,731,0.5986,0.4008,0.185432428
Cu49.5Zr42.075Ti7.425Sn,-6.262430371,683,1140,730,0.5991,0.4004,0.186303003
Cu49Hf42Al9,-6.93117797,778,1249,863,0.6229,0.42575,0.133868809
Cu49Zr36Ag10Ti5,-5.865047306,691,1130,737,0.6115,0.4047,0.178660759
Cu50Ag10Zr30Ti10,-5.968889323,694,1130,726,0.61416,0.39803,0.194958376
Cu50Hf42.5Al7.5,-6.93117797,781,1239.683,,0.63,,
Cu50Hf45Al5,-6.93117797,763,1230.645,,0.62,,
Cu50Zr42.5Ti7.5,-6.262430371,677,1152,717,0.5877,0.392,0.203915171
Cu50Zr43Al7,-6.262430371,721,1176,792,0.6131,0.4175,0.150206534
Cu50Zr45Al5,-6.262430371,701,1149.18,,0.61,,
Cu50Zr50,-6.262430371,686,1237,744,0.5546,0.3869,0.208572322
Cu51.5Zr40.5Al8,-5.865047306,730,1176,790,0.621,0.414,0.158
Cu52.4Zr41.1Al6.5,-5.865047306,729,1177,800,0.619,0.42,0.146
Cu52.5Hf40Al7.5,-6.93117797,779,1250,833,0.6232,0.41055,0.167308014
Cu52.5Zr40Ga7.5,-5.865047306,744,1218,777,0.61084,0.39602,0.19911989
Cu52.5Zr42.5Al5,-5.865047306,709,1162.295,,0.61,,
Cu52.5Zr42.5Ga5,-5.865047306,733,1187,777,0.61752,0.40469,0.17983024
Cu53.2Zr41.8Al5,-5.865047306,721,1176,781,0.613,0.412,0.163
Cu54Ag6Zr33Ti7,-5.865047306,709,1135,738,0.62467,0.40022,0.191725143
Cu54Ni6Zr22Ti18,-5.968889323,712,1287,769,0.553224553,0.384692346,0.249351334
Cu54Zr27Ti9Be10,-5.000682333,720,1130,762,0.63717,0.41189,0.166502939
Cu54Zr36Ag10,-5.865047306,719,1146,759,0.6274,0.407,0.176254935
Cu55.2Hf23Ti13.8Nb8,-6.349381083,745,1198,783,0.62187,0.40299,0.184614249
Cu55Ag5Zr30Ti10,-5.865047306,704,1149,733,0.61271,0.39557,0.20058571
Cu55Hf45,-6.93117797,771,1295,830,0.595,0.402,0.182545866
Cu55Ni5Zr30Ti10,-5.865047306,717,1204,750,0.59551,0.39042,0.209511837
Cu55Zr40Al5,-5.865047306,723,1166.129,,0.62,,
Cu55Zr40Ga5,-5.865047306,736,1193,779,0.61693,0.40384,0.181712458
Cu55Zr42.5Ga2.5,-5.865047306,709,1199,762,0.59133,0.39937,0.187258904
Cu55Zr45,-5.865047306,698,1183,748,0.59,0.398,0.190996654
Cu56.4Hf23.5Ti14.1Nb6,-6.349381083,745,1190,785,0.62605,0.40568,0.179018976
Cu56Zr44,-5.865047306,728,1163,792,0.626,0.419,0.149228937
Cu57.5Zr37.5Ga5,-5.865047306,745,1241,785,0.60032,0.39527,0.198791349
Cu57.6Hf24Ti14.4Nb4,-6.349381083,747,1188,789,0.62879,0.40775,0.17467554
Cu57.6Zr28.8Ti9.6Sn4,-5.865047306,745,1135,770,0.65,0.409,0.174979276
Cu57Zr36Ag7,-5.865047306,712,1156,755,0.6159,0.4042,0.180733779
Cu58.1Zr35.9Al6,-5.865047306,760,1173,799,0.648,0.413,0.165
Cu58.2Zr29.1Ti9.7Sn3,-5.865047306,747,1148,782,0.65,0.412,0.166852465
Cu58.7Zr36.3Al5,-5.865047306,748,1179,803,0.634,0.417,0.155
Cu58.8Hf24.5Ti14.7Nb2,-6.349381083,746,1184,792,0.63007,0.41036,0.168861871
Cu58.8Zr29.4Ti9.8Sn2,-5.865047306,730,1150,772,0.63,0.41,0.16900011
Cu58.8Zr29.4Ti9.8Y2,-5.865047306,707,1122,757,0.63012,0.41389,0.160849284
Cu59.4Zr29.7Ti9.9Sn,-5.865047306,730,1155,776,0.63203,0.41167,0.166184731
Cu59.6Zr36.9Al3.5,-5.865047306,740,1181,802,0.627,0.417,0.152
Cu60.3Zr37.2Al2.5,-5.865047306,733,1185,794,0.619,0.414,0.159
Cu60Hf17.5Ti22.5,-6.349381083,732,1229,755,0.59561,0.38501,0.222980355
Cu60Hf20Ti20,-6.349381083,740,1211,767,0.61107,0.39313,0.206211078
Cu60Hf25Ti15,-6.349381083,730,1177,790,0.62022,0.41426,0.158450983
Cu60Hf40,-6.93117797,773,1290,827,0.599,0.401,0.185309662
Cu60Zr30Ti10,-5.865047306,724,1175,746,0.61617,0.39284,0.208003994
Cu60Zr33Ti7,-5.865047306,740,1191,768,0.62133,0.39772,0.197098707
Cu60Zr40,-5.865047306,740,1198,760,0.618,0.392,0.21001032
Cu62Zr38,-5.865047306,728,1158,793,0.629,0.421,0.146028545
Cu64Zr36,-5.865047306,787,1230,833,0.6398,0.413,0.164411489
Cu65Hf35,-5.345239338,781,1259,832,0.621,0.408,0.173015649
Cu65Zr35,-5.865047306,781,1248,798,0.626,0.393,0.208859384
Cu66Zr34,-5.865047306,762,1263,785,0.603,0.388,0.218108044
Cu72Zr28,-4.994603873,780,1358,804,0.574,0.376,0.240495372
Hf47Cu29.25Ni9.75Al14,-7.038156483,790,1278,875,0.6182,0.4231,0.13883297
Hf48Cu29.25Ni9.75Al13,-7.038156483,785,1280,874,0.6133,0.4232,0.137879686
Hf51Cu27.75Ni9.25Al12,-7.038156483,777,1344,872,0.5781,0.4111,0.158380716
La32Ce32Al16Ni5Cu10Co5,-4.064940067,413,718,467,0.57521,0.41291,0.154040482
La32Ce32Al16Ni5Cu12Co3,-4.064940067,406,709,455,0.57264,0.40807,0.164055451
La32Ce32Al16Ni5Cu15,-4.064940067,403,712,451,0.56601,0.40448,0.170700898
La32Ce32Al16Ni5Cu5Co10,-4.064940067,424,767,472,0.5528,0.39631,0.186299532
La32Ce32Al16Ni5Cu7Co8,-4.064940067,416,739,471,0.56292,0.40779,0.162879713
La55Al15Ag10Cu20,-4.537873438,416,787,483,0.5286,0.4015,0.169678459
La55Al17.5Ag7.5Cu20,-4.537873438,425,852,498,0.4988,0.39,0.187789901
La55Al20Ag5Cu20,-4.537873438,429,823,503,0.5213,0.4018,0.167579978
La55Al25Ag5Cu15,-4.537873438,452,860,503,0.5256,0.3834,0.209582093
La55Al25Cu20,-4.537873438,456,896,495,0.50893,0.36612,0.24666
La55Al25Ni10Cu10,-5.108009551,467.4,835,547.2,0.55976,0.42015,0.13641
La55Al25Ni15Cu5,-5.108009551,473.6,899.6,541.2,0.52646,0.39412,0.18532
La55Al25Ni5Cu10Co5,-4.537873438,465.2,822.5,541.8,0.56559,0.42075,0.13609
La55Al25Ni5Cu15,-4.537873438,459.1,878.1,520,0.52283,0.38887,0.19623
La60Al15Ag5Cu20,-4.537873438,401,759,481,0.5283,0.4147,0.142300139
La62.5Al12.5Ag5Cu15Co5,-4.506443293,397,700,474,0.5671,0.4321,0.113760466
La62.5Al12.5Ag5Cu15Fe5,-4.506443293,390,713,445,0.547,0.4035,0.169241965
La62.5Al12.5Ag5Cu17.5Co2.5,-4.506443293,393,712,473,0.552,0.4281,0.119554302
La62.5Al12.5Ag5Cu17.5Fe2.5,-4.506443293,391,711,464,0.5499,0.4211,0.133053035
La62.5Al12.5Ag5Cu20,-4.506443293,389,721,472,0.5395,0.4252,0.123251371
La62.5Al12.5Cu10Ni5Co5Ag5,-4.803645328,404,691,,0.585,,
La62.5Al12.5Cu15Ni5Ag5,-4.506443293,391,717,,0.545,,
La62Al14Cu16Ag8,-4.537873438,407,744,458,0.54704,0.39791,0.181435518
La62Al14Cu17Ag7,-4.537873438,406,739,458,0.54939,0.4,0.177292391
La62Al14Cu18Ag6,-4.537873438,406,736,457,0.55163,0.40018,0.177367861
La62Al14Cu19Ag5,-4.537873438,405,730,456,0.55479,0.40176,0.174501797
La62Al14Cu20Ag4,-4.537873438,404,729,456,0.55418,0.40247,0.172813051
La62Al14Cu22Ag2,-4.537873438,401,722,455,0.5554,0.40516,0.167159788
La62Al14Cu24,-4.537873438,401,734,449,0.54632,0.39559,0.186487142
La62Cu12Ni12Al14,-4.916737545,423,744,452,0.56855,0.38732,0.210903722
La65Al10Ag5Cu20,-4.506443293,380,716,458,0.5307,0.4179,0.136263916
La65Al14Cu9.2Ag1.8Ni5Co5,-4.803645328,419,687,,0.61,,
La66Al14Cu20,-4.506443293,395,731,449,0.54036,0.39876,0.17813
Mg57Cu31.5Y8Nd3.5,-2.386761387,426,778,501,0.54756,0.41611,0.142657422
Mg57Cu31.5Y9.2Nd2.3,-2.386761387,428,777,502,0.55084,0.4166,0.142217166
Mg57Cu31Y6.6Nd5.4,-2.386761387,427,778,491,0.54884,0.40747,0.160939889
Mg58.5Cu30.5Gd11,-2.386761387,427,753,490,0.56707,0.41525,0.147699579
Mg58.5Cu30.5Y11,-2.386761387,422,762,496,0.55381,0.41892,0.137969095
Mg59.4Cu23Ag6.6Gd11,-2.386761387,425,700,,0.607,,
Mg59Cu31Gd10,-2.386761387,424,769,482,0.55137,0.40402,0.168856168
Mg60.5Cu28.5Gd11,-2.386761387,425,755,485,0.56291,0.41102,0.155950283
Mg61.5Cu29.5Gd9,-2.386761387,433,785,472,0.55159,0.38752,0.206372792
Mg61Cu28Gd11,-2.386761387,422,737,483,0.57259,0.41674,0.145492638
Mg61Cu29Gd10,-2.386761387,420,762,480,0.55118,0.40609,0.164341238
Mg62.5Cu26.5Gd11,-2.386761387,427,748,483,0.57086,0.41106,0.157250012
Mg63.5Cu27.5Gd9,-2.386761387,425,773,469,0.54981,0.39149,0.196668437
Mg63Cu27Gd10,-2.386761387,418,755,481,0.55364,0.41006,0.156320833
Mg64.5Cu24.5Gd11,-2.386761387,413,739,472,0.55886,0.40972,0.157985371
Mg65.5Cu25.4Gd9,-2.386761387,411,741,457,0.55466,0.3967,0.185801081
Mg65Cu15Ag10Er10,-2.102638078,427,733,465,0.58254,0.40086,0.182073084
Mg65Cu15Ag10Gd10,-2.102638078,416,686,459,0.60641,0.41652,0.151327139
Mg65Cu15Ag10Y10,-2.856289631,428,694,469,0.616714697,0.418003565,0.141126709
Mg65Cu15Ag10Y2Gd8,-2.102638078,420,683,464,0.61493,0.42067,0.143612132
Mg65Cu15Ag10Y4Gd6,-2.856289631,424,682,467,0.6217,0.42224,0.141195075
Mg65Cu15Ag10Y6Gd4,-2.856289631,427,685,472,0.623357664,0.424460432,0.136675405
Mg65Cu15Ag10Y8Gd2,-2.856289631,428,690,472,0.620289855,0.422182469,0.136675405
Mg65Cu15Ag5Pd5Gd10,-2.102638078,430,748,472,0.57487,0.40068,0.180965996
Mg65Cu15Ag5Pd5Y10,-2.856289631,437,,471,,,
Mg65Cu20Ni5Gd10,-2.102638078,420,786,481,0.534351145,0.398839138,
Mg65Cu20Zn5Y10,-2.856289631,404,,456,,,
Mg65Cu25Dy10,-2.386761387,422,750,492,0.56267,0.4198,0.13758754
Mg65Cu25Er10,-2.386761387,422,766,480,0.55091,0.40404,0.16872796
Mg65Cu25Gd10,-2.386761387,423,740,484,0.57162,0.41617,0.14654
Mg65Cu25Gd5Y5,-2.386761387,413,755,486,0.54702,0.4161,0.142602496
Mg65Cu25Ho10,-2.386761387,417,751,473,0.55526,0.40497,0.167565937
Mg65Cu25Nd10,-2.386761387,423,744,456,0.56855,0.39075,0.202695855
Mg65Cu25Pr10,-2.386761387,413,784,446,0.52679,0.3726,0.235949224
Mg65Cu25Tb10,-2.542384796,414,733,487,0.564802183,0.424585876,0.12597707
Mg65Cu25Tb7Y3,-2.386761387,416,736,488,0.565217391,0.423611111,
Mg65Cu25Tb8Y2,-2.386761387,417,734,492,0.568119891,0.427454387,0.130236794
Mg65Cu25Tb9Y,-2.542384796,416,732,489,0.568306011,0.425958188,0.12297366
Mg65Cu25Y10,-2.856289631,413,760,473,0.54342,0.40324,0.16897
Mg65Cu7.5Ni7.5Ag5Zn5Gd10,-2.413613199,440,726,477,0.60606,0.40909,0.167714885
Mg65Cu7.5Ni7.5Ag5Zn5Gd2.5Y7.5,-2.856289631,433,735,473,0.58912,0.40497,0.173994745
Mg65Cu7.5Ni7.5Ag5Zn5Gd5Y5,-2.856289631,434,718,472,0.60446,0.40972,0.166019192
Mg65Cu7.5Ni7.5Ag5Zn5Gd7.5Y2.5,-2.856289631,438,719,474,0.60918,0.40968,0.166919828
Mg65Cu7.5Ni7.5Zn5Ag5Y10,-2.856289631,426,717,464,0.59414,0.40595,0.1727
Mg80Cu10Y10,-2.385871622,427,,448,,,
Nd60Al15Ni10Cu10Fe5,-4.905739093,430,779,,0.552,,
Nd61Al11Ni8Co5Cu15,-4.453779605,445,744,,0.598,,
Ni42Ti19Zr22.5Al8Cu5Si3.5,-7.180139398,780,1363,846,0.57227,0.39477,0.194035353
Ni42Ti20Zr20.5Al8Cu5Si4.5,-7.180139398,763,1364,856,0.55938,0.40244,0.173913043
Ni42Ti20Zr21.5Al8Cu5Si3.5,-7.180139398,774,1366,846,0.56662,0.39533,0.19153052
Ni42Ti20Zr22.5Al8Cu5Si2.5,-7.180139398,767,1367,833,0.56108,0.39035,0.201930455
Ni42Ti20Zr25Al8Cu5,-7.180139398,748,1366,803,0.54758,0.37985,0.223843847
Pd37.5Cu30Ni12.5P20,-4.91891836,572,929,647,0.61572,0.43105,0.12192
Pd40Cu20Ni10P20,-4.91891836,578,862,,0.67,,
Pd40Cu25Ni15P20,-4.91891836,596,910,668,0.65495,0.44356,0.10071
Pd40Cu30Ni10P20,-4.91891836,586,856,660,0.68458,0.4577,0.07512
Pd40Cu32.5Ni7.5P20,-4.57287707,568,932,654,0.60944,0.436,0.11117
Pd42.5Cu27.5Ni10P20,-4.91891836,584,871,665,0.67049,0.45704,0.07545
Pd42.5Cu30Ni7.5P20,-4.91891836,574,834,660,0.68825,0.46875,0.05436
Pd45Cu25Ni10P20,-4.91891836,595,884,675,0.67308,0.45639,0.07688
Pd45Cu30Ni5P20,-4.91891836,577,861,659,0.67015,0.45828,0.07307
Pd64.5Cu19Si16.5,-5.27466495,640,1234.3,,0.519,,
Pd71.5Cu12Si16.5,-5.909161811,652,1154,680,0.56499,0.37652,0.23678727
Pd73.5Cu10Si16.5,-5.909161811,645,1136,685,0.56778,0.38462,0.217292106
Pd77.5Cu6Si16.5,-5.844767106,637,1058,686,0.60208,0.40472,0.17695
Pd77Cu6Si17,-5.844767106,642,1128,686,0.56915,0.38757,0.21044
Pd79.5Cu4Si16.5,-5.844767106,635,1086,678,0.58471,0.39396,0.19864
Pd79Cu2Ag4Si10P5,-5.67867701,611,1006,676,0.60736,0.41806,0.148126204
Pd79Cu3Ag3Si10P5,-5.67867701,610,1005,683,0.60697,0.42291,0.137701216
Pd79Cu4Ag2Si10P5,-5.67867701,613,1005,684,0.60995,0.42274,0.138473468
Pd79Cu5AgSi10P5,-5.67867701,614,1001,684,0.61339,0.42353,0.13728909
Pd79Cu6Si10P5,-5.67867701,609,995,682,0.61206,0.42519,0.13360946
Pd81.5Cu2Si16.5,-5.844767106,633,1097.3,,0.577,,
Pd81.5Cu2Si6.5,-5.17671826,633,1097,670,0.57703,0.38728,0.212983472
Pr68Cu25Al7,-4.359506208,382,705,402,0.54184,0.36983,0.247396155
Pt42.5Cu27Ni59.5P21,-5.19693112,515,873,589,0.589919817,0.424351585,0.159647138
Pt57.5Cu14.7Ni5.3P22.5,-6.259584459,508,795,606,0.638993711,0.465080583,0.1322884
Pt60Cu16Co2P22,-6.259584459,506,881,569,0.574347333,0.410237924,0.106174229
Ti34Zr11Cu47Ni8,-5.968889323,698.4,1169.2,727.2,0.59733,0.38938,0.21248
Ti40Zr10Cu30Pd20,-6.335883155,687,1279,747,0.53714,0.37996,0.220799293
Ti40Zr10Cu32Pd18,-6.335883155,683,1272,740,0.53695,0.37852,0.224250443
Ti40Zr10Cu34Pd16,-6.335883155,672,1231,723,0.5459,0.37993,0.223209303
Ti40Zr10Cu36Pd14,-6.335883155,669,1191,718,0.5617,0.386,0.212399907
Ti40Zr10Cu38Pd12,-5.826638952,666,1189,715,0.5601,0.3854,0.21341073
Ti40Zr10Cu40Pd10,-5.870561678,660,1184,709,0.55743,0.38449,0.215053763
Ti40Zr25Ni8Cu9Be18,-6.730881408,621,1009,668,0.61546,0.40982,0.167678326
Ti41.5Zr2.5Hf5Cu37.5Ni7.5SiSn5,-5.870561678,693.3,1176,757.5,0.58954,0.40523,0.173472574
Ti41.5Zr2.5Hf5Cu42.5Ni7.5Si,-5.870561678,680,1199,730,0.56714,0.3885,0.207718832
Ti42.5Zr2.5Hf5Cu42.5Ni7.5,-5.870561678,677,1203,726,0.56276,0.38617,0.212296196
Ti45Ni15Cu25Sn3Be7Zr5,-6.372326558,680,1142,741,0.59545,0.4067,0.171247538
Ti47.5Zr2.5Cu42.5Ni7.5,-5.870561678,673,1225,720,0.54939,0.37935,0.22555543
Ti50Cu42.5Ni7.5,-6.009246153,670,1226,708,0.54649,0.37342,0.239578342
Ti50Ni15Cu25Sn3Be7,-6.372326558,688,1207,733,0.57001,0.38681,0.212485657
Ti50Ni15Cu32Sn3,-6.372326558,686,1283,,0.53,,
Ti50Ni24Cu20BSi2Sn3,-6.372326558,726,1310,800,0.5542,0.39293,0.194337019
Ti50Ni30Cu32Sn3,-6.372326558,686,1283,759,0.53468,0.38547,0.207022193
Ti50Zr15Cu9Ni8Be18,-6.730881408,622,1009,662,0.61645,0.40589,0.176853424
