formula,main_element,PROPERTY: Trg,Logans_data,Glass forming ability
Ag0Cu71Fe29,Cu,0,1,0
Ag0Cu76Fe24,Cu,0,1,0
Ag0Cu90Fe10,Cu,0,1,0
Ag11Cu38Fe51,Fe,0,1,0
Ag13Cu32Fe55,Fe,0,1,0
Ag15Cu49Fe36,Cu,0,1,0
Ag15Cu83Fe2,Cu,0,1,0
Ag17Cu20Fe63,Fe,0,1,0
Ag17Cu41Fe42,Fe,0,1,0
Ag22Cu51Fe27,Cu,0,1,0
Ag23Cu10Fe67,Fe,0,1,0
Ag24Cu31Fe45,Fe,0,1,0
Ag25Cu25Fe50,Fe,0,1,0
Ag26Cu23Fe51,Fe,0,1,0
Ag27Cu31Fe42,Fe,0,1,0
Ag27Cu73Fe0,Cu,0,1,0
Ag28Cu45Fe27,Cu,0,1,0
Ag31Cu49Fe20,Cu,0,1,0
Ag31Cu55Fe14,Cu,0,1,0
Ag32Cu66Fe2,Cu,0,1,0
Ag37Cu6Fe57,Fe,0,1,0
Ag42Cu0Fe58,Fe,0,1,0
Ag48Cu0Fe52,Fe,0,1,0
Ag48Cu52Fe0,Cu,0,1,0
Ag49Cu29Fe22,Ag,0,1,0
Ag50Cu0Fe50,Ag,0,1,0
Ag51Cu13Fe36,Ag,0,1,0
Ag52Cu0Fe48,Ag,0,1,0
Ag55Cu0Fe45,Ag,0,1,0
Ag58Cu32Fe10,Ag,0,1,0
Ag61Cu0Fe39,Ag,0,1,0
Ag62Cu30Fe8,Ag,0,1,0
Ag63Cu0Fe37,Ag,0,1,0
Ag63Cu8Fe29,Ag,0,1,0
Ag67Cu0Fe33,Ag,0,1,0
Ag70Cu0Fe30,Ag,0,1,0
Ag84Cu0Fe16,Ag,0,1,0
Ag37.5Cu37.5Ge25,Ag,0,1,1
Ag38.75Cu38.75Ge22.5,Ag,0,1,1
Ag40Cu40Ge20,Ag,0,1,1
Ag35Cu35Mg30,Ag,0,1,1
Ag7.1Cu85.2P7.7,Cu,0,1,1
Ag7.5Cu85.5P7,Cu,0,1,1
Ag8.9Cu83.5P7.6,Cu,0,1,1
Ag9Cu82.8P8.2,Cu,0,1,1
Ag9Cu84P7,Cu,0,1,1
Ag10.5Cu81.5P8,Cu,0,1,1
Ag10.5Cu81.9P7.6,Cu,0,1,1
Ag10.5Cu82.5P7,Cu,0,1,1
Ag12.2Cu80.3P7.5,Cu,0,1,1
Ag12.2Cu80.8P7,Cu,0,1,1
Ag7Cu84.5P8.5,Cu,0,1,0
Ag7.5Cu86P6.5,Cu,0,1,0
Ag9Cu84.5P6.5,Cu,0,1,0
Ag10.5Cu80.5P9,Cu,0,1,0
Ag12.2Cu81.5P6.3,Cu,0,1,0
Ag14Cu78.5P7.5,Cu,0,1,0
Ag5.5Cu87P7.5,Cu,0,1,0
Ag9Cu82.5P8.5,Cu,0,1,0
Ag9Cu85P6,Cu,0,1,0
Ag0Mg84Y16,Mg,0,1,1
Ag5Mg80Y15,Mg,0,1,1
Ag10Mg60Y30,Mg,0,1,1
Ag10Mg70Y20,Mg,0,1,1
Ag10Mg80Y10,Mg,0,1,1
Ag15Mg80Y5,Mg,0,1,1
Ag20Mg30Y50,Y,0,1,1
Ag20Mg40Y40,Mg,0,1,1
Ag20Mg50Y30,Mg,0,1,1
Ag20Mg60Y20,Mg,0,1,1
Ag20Mg70Y10,Mg,0,1,1
Ag25Mg60Y15,Mg,0,1,1
Ag25Mg65Y10,Mg,0,1,1
Ag25Mg70Y5,Mg,0,1,1
Ag30Mg30Y40,Y,0,1,1
Ag30Mg40Y30,Mg,0,1,1
Ag30Mg50Y20,Mg,0,1,1
Ag30Mg55Y15,Mg,0,1,1
Ag30Mg60Y10,Mg,0,1,1
Ag40Mg30Y30,Ag,0,1,1
Ag40Mg40Y20,Ag,0,1,1
Ag40Mg50Y10,Mg,0,1,1
Ag50Mg30Y20,Ag,0,1,1
Ag0Mg80Y20,Mg,0,1,0
Ag0Mg87.5Y12.5,Mg,0,1,0
Ag5Mg85Y10,Mg,0,1,0
Ag10Mg50Y40,Mg,0,1,0
Ag10Mg85Y5,Mg,0,1,0
Ag20Mg20Y60,Y,0,1,0
Ag50Mg20Y30,Ag,0,1,0
Ag60Mg20Y20,Ag,0,1,0
Ag0Mg75Y25,Mg,0,1,0
Ag0Mg90Y10,Mg,0,1,0
Ag0Mg95Y5,Mg,0,1,0
Ag5Mg90Y5,Mg,0,1,0
Ag30Mg20Y50,Y,0,1,0
Ag40Mg20Y40,Ag,0,1,0
Ag50Mg40Y10,Ag,0,1,0
Ag0Pd79Si21,Pd,0,1,1
Ag0Pd80Si20,Pd,0,1,1
Ag0Pd82Si18,Pd,0,1,1
Ag0Pd84Si16,Pd,0,1,1
Ag0Pd85Si15,Pd,0,1,1
Ag4.5Pd75.5Si20,Pd,0,1,1
Ag4.5Pd79Si16.5,Pd,0,1,1
Ag5Pd77Si18,Pd,0,1,1
Ag5Pd79Si16,Pd,0,1,1
Ag5.5Pd78Si16.5,Pd,0,1,1
Ag8.5Pd75Si16.5,Pd,0,1,1
Ag4Pd79.5Si16.5,Pd,0,1,1
Ag1.7Pd81.8Si16.5,Pd,0,1,1
Ag4.2Pd79.3Si16.5,Pd,0,1,1
Ag6.7Pd76.8Si16.5,Pd,0,1,1
Ag10Pd73.5Si16.5,Pd,0,1,1
Ag12.5Pd71Si16.5,Pd,0,1,1
Ag15Pd68.5Si16.5,Pd,0,1,1
Ag4.5Pd75.5Si20,Pd,0,1,1
Ag6Pd77.5Si16.5,Pd,0,1,1
Ag20.9Pd62.6Si16.5,Pd,0,1,0
Al25Au20La55,La,0,1,1
Al0B18Co82,Co,0,1,1
Al0B22Co78,Co,0,1,1
Al0B26Co74,Co,0,1,1
Al0B30Co70,Co,0,1,1
Al0B36Co64,Co,0,1,1
Al0B38Co62,Co,0,1,1
Al0B40Co60,Co,0,1,1
Al4B18Co78,Co,0,1,1
Al4B22Co74,Co,0,1,1
Al4B26Co70,Co,0,1,1
Al4B30Co66,Co,0,1,1
Al4B34Co62,Co,0,1,1
Al8B18Co74,Co,0,1,1
Al8B22Co70,Co,0,1,1
Al8B26Co66,Co,0,1,1
Al8B30Co62,Co,0,1,1
Al8B34Co58,Co,0,1,1
Al12B18Co70,Co,0,1,1
Al12B22Co66,Co,0,1,1
Al12B26Co62,Co,0,1,1
Al12B30Co58,Co,0,1,1
Al12B34Co54,Co,0,1,1
Al12B38Co50,Co,0,1,1
Al16B14Co70,Co,0,1,1
Al16B18Co66,Co,0,1,1
Al16B22Co62,Co,0,1,1
Al16B26Co58,Co,0,1,1
Al16B30Co54,Co,0,1,1
Al16B34Co50,Co,0,1,1
Al20B26Co54,Co,0,1,1
Al20B30Co50,Co,0,1,1
Al20B34Co46,Co,0,1,1
Al20B38Co42,Co,0,1,1
Al24B26Co50,Co,0,1,1
Al24B34Co42,Co,0,1,1
Al24B40Co36,B,0,1,1
Al8B14Co78,Co,0,1,0
Al12B14Co74,Co,0,1,0
Al20B18Co62,Co,0,1,0
Al20B22Co58,Co,0,1,0
Al4B10Co86,Co,0,1,0
Al4B14Co82,Co,0,1,0
Al8B10Co82,Co,0,1,0
Al12B6Co82,Co,0,1,0
Al12B10Co78,Co,0,1,0
Al16B10Co74,Co,0,1,0
Al20B10Co70,Co,0,1,0
Al20B14Co66,Co,0,1,0
Al24B22Co54,Co,0,1,0
Al0B13Fe87,Fe,0,1,1
Al0B18Fe82,Fe,0,1,1
Al0B22Fe78,Fe,0,1,1
Al4B14Fe82,Fe,0,1,1
Al4B18Fe78,Fe,0,1,1
Al4B22Fe74,Fe,0,1,1
Al8B14Fe78,Fe,0,1,1
Al8B18Fe74,Fe,0,1,1
Al8B22Fe70,Fe,0,1,1
Al12B14Fe74,Fe,0,1,1
Al12B22Fe66,Fe,0,1,1
Al16B14Fe70,Fe,0,1,1
Al16B18Fe66,Fe,0,1,1
Al16B22Fe62,Fe,0,1,1
Al16B26Fe58,Fe,0,1,1
Al20B14Fe66,Fe,0,1,1
Al20B18Fe62,Fe,0,1,1
Al20B26Fe54,Fe,0,1,1
Al20B30Fe50,Fe,0,1,1
Al20B34Fe46,Fe,0,1,1
Al4B10Fe86,Fe,0,1,0
Al8B10Fe82,Fe,0,1,0
Al12B6Fe82,Fe,0,1,0
Al12B10Fe78,Fe,0,1,0
Al16B10Fe74,Fe,0,1,0
Al0B18Ni82,Ni,0,1,1
Al0B30Ni70,Ni,0,1,1
Al0B34Ni66,Ni,0,1,1
Al0B38Ni62,Ni,0,1,1
Al0B40Ni60,Ni,0,1,1
Al0B42Ni58,Ni,0,1,1
Al4B18Ni78,Ni,0,1,1
Al4B22Ni74,Ni,0,1,1
Al4B26Ni70,Ni,0,1,1
Al4B30Ni66,Ni,0,1,1
Al4B34Ni62,Ni,0,1,1
Al4B38Ni58,Ni,0,1,1
Al4B42Ni54,Ni,0,1,1
Al8B18Ni74,Ni,0,1,1
Al8B22Ni70,Ni,0,1,1
Al8B26Ni66,Ni,0,1,1
Al8B30Ni62,Ni,0,1,1
Al8B34Ni58,Ni,0,1,1
Al8B38Ni54,Ni,0,1,1
Al8B42Ni50,Ni,0,1,1
Al12B18Ni70,Ni,0,1,1
Al12B22Ni66,Ni,0,1,1
Al12B26Ni62,Ni,0,1,1
Al12B30Ni58,Ni,0,1,1
Al12B34Ni54,Ni,0,1,1
Al16B18Ni66,Ni,0,1,1
Al16B22Ni62,Ni,0,1,1
Al16B26Ni58,Ni,0,1,1
Al16B30Ni54,Ni,0,1,1
Al16B34Ni50,Ni,0,1,1
Al16B38Ni46,Ni,0,1,1
Al20B18Ni62,Ni,0,1,1
Al20B22Ni58,Ni,0,1,1
Al20B26Ni54,Ni,0,1,1
Al20B30Ni50,Ni,0,1,1
Al20B34Ni46,Ni,0,1,1
Al20B40Ni40,B,0,1,1
Al24B26Ni50,Ni,0,1,1
Al12B14Ni74,Ni,0,1,0
Al24B14Ni62,Ni,0,1,0
Al24B18Ni58,Ni,0,1,0
Al24B22Ni54,Ni,0,1,0
Al28B22Ni50,Ni,0,1,0
Al0B22Ni78,Ni,0,1,0
Al0B26Ni74,Ni,0,1,0
Al16B14Ni70,Ni,0,1,0
Al20B14Ni66,Ni,0,1,0
Al28B30Ni42,Ni,0,1,0
Al85Ca10Co5,Al,0,1,1
Al89Ca11Co0,Al,0,1,1
Al90Ca10Co0,Al,0,1,1
Al91Ca9Co0,Al,0,1,1
Al85Ca10Cu5,Al,0,1,1
Al89Ca11Cu0,Al,0,1,1
Al90Ca10Cu0,Al,0,1,1
Al91Ca9Cu0,Al,0,1,1
Al87.5Ca7.5Fe5,Al,0,1,1
Al90Ca7.5Fe2.5,Al,0,1,1
Al85Ca10Fe5,Al,0,1,1
Al89Ca11Fe0,Al,0,1,1
Al90Ca10Fe0,Al,0,1,1
Al91Ca9Fe0,Al,0,1,1
Al85Ca10Fe5,Al,0,1,0
Al87.5Ca10Fe2.5,Al,0,1,0
Al90Ca10Fe0,Al,0,1,0
Al92.5Ca2.5Fe5,Al,0,1,0
Al92.5Ca7.5Fe0,Al,0,1,0
Al90Ca5Fe5,Al,0,1,0
Al10Ca60Ga30,Ca,0,1,1
Al20Ca60Ga20,Ca,0,1,1
Al30Ca60Ga10,Ca,0,1,1
Al40Ca60Ga0,Ca,0,1,1
Al15Ca70Mg15,Ca,0,1,1
Al22.5Ca70Mg7.5,Ca,0,1,1
Al30Ca70Mg0,Ca,0,1,1
Al85Ca10Mg5,Al,0,1,1
Al89Ca11Mg0,Al,0,1,1
Al90Ca10Mg0,Al,0,1,1
Al91Ca9Mg0,Al,0,1,1
Al20Ca10Mg70,Mg,0,1,1
Al85Ca10Ni5,Al,0,1,1
Al87.5Ca7.5Ni5,Al,0,1,1
Al90Ca7.5Ni2.5,Al,0,1,1
Al85Ca10Ni5,Al,0,1,1
Al89Ca11Ni0,Al,0,1,1
Al90Ca10Ni0,Al,0,1,1
Al91Ca9Ni0,Al,0,1,1
Al87.5Ca10Ni2.5,Al,0,1,0
Al90Ca10Ni0,Al,0,1,0
Al90Ca0Ni10,Al,0,1,0
Al92.5Ca2.5Ni5,Al,0,1,0
Al92.5Ca7.5Ni0,Al,0,1,0
Al80Ca10Ni10,Al,0,1,0
Al85Ca5Ni10,Al,0,1,0
Al87.5Ca2.5Ni10,Al,0,1,0
Al88.75Ca1.25Ni10,Al,0,1,0
Al90Ca5Ni5,Al,0,1,0
Al85Ca10Zn5,Al,0,1,1
Al89Ca11Zn0,Al,0,1,1
Al90Ca10Zn0,Al,0,1,1
Al91Ca9Zn0,Al,0,1,1
Al80Ce5Co15,Al,0,1,1
Al80Ce10Co10,Al,0,1,1
Al83Ce5Co12,Al,0,1,1
Al85Ce5Co10,Al,0,1,1
Al85Ce10Co5,Al,0,1,1
Al87Ce8Co5,Al,0,1,1
Al88Ce2Co10,Al,0,1,1
Al88Ce10Co2,Al,0,1,1
Al90Ce3Co7,Al,0,1,1
Al90Ce5Co5,Al,0,1,1
Al90Ce10Co0,Al,0,1,1
Al91Ce9Co0,Al,0,1,1
Al92Ce8Co0,Al,0,1,1
Al93Ce7Co0,Al,0,1,1
Al88Ce12Co0,Al,0,1,0
Al89Ce11Co0,Al,0,1,0
Al75Ce5Co20,Al,0,1,0
Al75Ce10Co15,Al,0,1,0
Al75Ce15Co10,Al,0,1,0
Al77Ce10Co13,Al,0,1,0
Al80Ce15Co5,Al,0,1,0
Al87Ce13Co0,Al,0,1,0
Al90Ce0Co10,Al,0,1,0
Al94Ce4Co2,Al,0,1,0
Al94Ce6Co0,Al,0,1,0
Al95Ce2Co3,Al,0,1,0
Al85Ce10Cr5,Al,0,1,1
Al87Ce10Cr3,Al,0,1,1
Al90Ce10Cr0,Al,0,1,1
Al91Ce9Cr0,Al,0,1,1
Al92Ce8Cr0,Al,0,1,1
Al93Ce7Cr0,Al,0,1,1
Al88Ce12Cr0,Al,0,1,1
Al89Ce8Cr3,Al,0,1,0
Al89Ce11Cr0,Al,0,1,0
Al80Ce10Cr10,Al,0,1,0
Al80Ce15Cr5,Al,0,1,0
Al83Ce10Cr7,Al,0,1,0
Al87Ce8Cr5,Al,0,1,0
Al87Ce13Cr0,Al,0,1,0
Al94Ce6Cr0,Al,0,1,0
Al93Ce2Cr5,Al,0,1,0
Al94Ce2Cr4,Al,0,1,0
Al75Ce10Cu15,Al,0,1,1
Al80Ce5Cu15,Al,0,1,1
Al80Ce10Cu10,Al,0,1,1
Al83Ce7Cu10,Al,0,1,1
Al85Ce5Cu10,Al,0,1,1
Al85Ce10Cu5,Al,0,1,1
Al87Ce8Cu5,Al,0,1,1
Al88Ce10Cu2,Al,0,1,1
Al90Ce10Cu0,Al,0,1,1
Al91Ce9Cu0,Al,0,1,1
Al92Ce8Cu0,Al,0,1,1
Al93Ce7Cu0,Al,0,1,1
Al6Ce10Cu84,Cu,0,1,1
Al8Ce8Cu84,Cu,0,1,1
Al8Ce10Cu82,Cu,0,1,1
Al10Ce8Cu82,Cu,0,1,1
Al12Ce8Cu80,Cu,0,1,1
Al88Ce5Cu7,Al,0,1,0
Al88Ce12Cu0,Al,0,1,0
Al89Ce11Cu0,Al,0,1,0
Al90Ce5Cu5,Al,0,1,0
Al2Ce8Cu90,Cu,0,1,0
Al2Ce10Cu88,Cu,0,1,0
Al4Ce8Cu88,Cu,0,1,0
Al4Ce10Cu86,Cu,0,1,0
Al6Ce6Cu88,Cu,0,1,0
Al6Ce8Cu86,Cu,0,1,0
Al8Ce6Cu86,Cu,0,1,0
Al10Ce4Cu86,Cu,0,1,0
Al10Ce6Cu84,Cu,0,1,0
Al70Ce10Cu20,Al,0,1,0
Al70Ce15Cu15,Al,0,1,0
Al75Ce5Cu20,Al,0,1,0
Al75Ce15Cu10,Al,0,1,0
Al80Ce15Cu5,Al,0,1,0
Al83Ce2Cu15,Al,0,1,0
Al87Ce13Cu0,Al,0,1,0
Al88Ce2Cu10,Al,0,1,0
Al94Ce6Cu0,Al,0,1,0
Al2Ce6Cu92,Cu,0,1,0
Al4Ce4Cu92,Cu,0,1,0
Al6Ce4Cu90,Cu,0,1,0
Al10Ce2Cu88,Cu,0,1,0
Al10Ce10Cu80,Cu,0,1,0
Al12Ce6Cu82,Cu,0,1,0
Al12Ce10Cu78,Cu,0,1,0
Al14Ce6Cu80,Cu,0,1,0
Al14Ce8Cu78,Cu,0,1,0
Al14Ce10Cu76,Cu,0,1,0
Al80Ce10Fe10,Al,0,1,1
Al83Ce7Fe10,Al,0,1,1
Al85Ce5Fe10,Al,0,1,1
Al85Ce10Fe5,Al,0,1,1
Al87Ce8Fe5,Al,0,1,1
Al88Ce2Fe10,Al,0,1,1
Al88Ce10Fe2,Al,0,1,1
Al90Ce3Fe7,Al,0,1,1
Al90Ce10Fe0,Al,0,1,1
Al91Ce9Fe0,Al,0,1,1
Al92Ce8Fe0,Al,0,1,1
Al93Ce7Fe0,Al,0,1,1
Al90Ce5Fe5,Al,0,1,1
Al75Ce15Fe10,Al,0,1,0
Al88Ce12Fe0,Al,0,1,0
Al89Ce11Fe0,Al,0,1,0
Al75Ce10Fe15,Al,0,1,0
Al80Ce15Fe5,Al,0,1,0
Al84Ce2Fe14,Al,0,1,0
Al87Ce13Fe0,Al,0,1,0
Al89Ce1Fe10,Al,0,1,0
Al94Ce2Fe4,Al,0,1,0
Al94Ce4Fe2,Al,0,1,0
Al94Ce6Fe0,Al,0,1,0
Al94Ce2Fe4,Al,0,1,0
Al85Ce10Mn5,Al,0,1,1
Al86Ce10Mn4,Al,0,1,1
Al88Ce10Mn2,Al,0,1,1
Al90Ce10Mn0,Al,0,1,1
Al91Ce9Mn0,Al,0,1,1
Al92Ce8Mn0,Al,0,1,1
Al93Ce7Mn0,Al,0,1,1
Al83Ce10Mn7,Al,0,1,0
Al87Ce8Mn5,Al,0,1,0
Al88Ce12Mn0,Al,0,1,0
Al89Ce6Mn5,Al,0,1,0
Al89Ce11Mn0,Al,0,1,0
Al80Ce10Mn10,Al,0,1,0
Al85Ce5Mn10,Al,0,1,0
Al87Ce13Mn0,Al,0,1,0
Al88Ce2Mn10,Al,0,1,0
Al94Ce6Mn0,Al,0,1,0
Al93Ce2Mn5,Al,0,1,0
Al94Ce2Mn4,Al,0,1,0
Al80Ce10Nb10,Al,0,1,1
Al83Ce7Nb10,Al,0,1,1
Al85Ce10Nb5,Al,0,1,1
Al87Ce8Nb5,Al,0,1,1
Al88Ce10Nb2,Al,0,1,1
Al90Ce8Nb2,Al,0,1,1
Al90Ce10Nb0,Al,0,1,1
Al91Ce9Nb0,Al,0,1,1
Al92Ce6Nb2,Al,0,1,1
Al92Ce8Nb0,Al,0,1,1
Al93Ce7Nb0,Al,0,1,1
Al77Ce10Nb13,Al,0,1,0
Al88Ce12Nb0,Al,0,1,0
Al89Ce11Nb0,Al,0,1,0
Al75Ce15Nb10,Al,0,1,0
Al80Ce15Nb5,Al,0,1,0
Al85Ce5Nb10,Al,0,1,0
Al87Ce13Nb0,Al,0,1,0
Al90Ce5Nb5,Al,0,1,0
Al94Ce6Nb0,Al,0,1,0
Al60Ce10Ni30,Al,0,1,1
Al65Ce5Ni30,Al,0,1,1
Al70Ce10Ni20,Al,0,1,1
Al75Ce5Ni20,Al,0,1,1
Al80Ce10Ni10,Al,0,1,1
Al84Ce6Ni10,Al,0,1,1
Al85Ce5Ni10,Al,0,1,1
Al85Ce6Ni9,Al,0,1,1
Al85Ce10Ni5,Al,0,1,1
Al86Ce6Ni8,Al,0,1,1
Al87Ce6Ni7,Al,0,1,1
Al87Ce13Ni0,Al,0,1,1
Al88Ce2Ni10,Al,0,1,1
Al88Ce12Ni0,Al,0,1,1
Al89Ce11Ni0,Al,0,1,1
Al90Ce10Ni0,Al,0,1,1
Al90Ce10Ni0,Al,0,1,1
Al91Ce9Ni0,Al,0,1,1
Al91Ce9Ni0,Al,0,1,1
Al92Ce8Ni0,Al,0,1,1
Al93Ce7Ni0,Al,0,1,1
Al88Ce12Ni0,Al,0,1,0
Al89Ce11Ni0,Al,0,1,0
Al80Ce15Ni5,Al,0,1,0
Al87Ce13Ni0,Al,0,1,0
Al90Ce0Ni10,Al,0,1,0
Al94Ce6Ni0,Al,0,1,0
Al61Ce10Ni29,Al,0,1,1
Al65Ce15Ni20,Al,0,1,1
Al70Ce10Ni20,Al,0,1,1
Al70Ce15Ni15,Al,0,1,1
Al75Ce5Ni20,Al,0,1,1
Al75Ce10Ni15,Al,0,1,1
Al80Ce5Ni15,Al,0,1,1
Al80Ce10Ni10,Al,0,1,1
Al82Ce8Ni10,Al,0,1,1
Al85Ce5Ni10,Al,0,1,1
Al85Ce10Ni5,Al,0,1,1
Al86Ce4Ni10,Al,0,1,1
Al87Ce5Ni8,Al,0,1,1
Al89Ce10Ni1,Al,0,1,1
Al90Ce10Ni0,Al,0,1,1
Al93Ce7Ni0,Al,0,1,1
Al70Ce20Ni10,Al,0,1,0
Al90Ce5Ni5,Al,0,1,0
Al60Ce20Ni20,Al,0,1,0
Al80Ce15Ni5,Al,0,1,0
Al88Ce12Ni0,Al,0,1,0
Al95Ce5Ni0,Al,0,1,0
Al85Ce5Ni10,Al,0,1,1
Al86Ce6Ni8,Al,0,1,1
Al25Ce55Ni20,Ce,0,1,1
Al84Ce6Ni10,Al,0,1,1
Al91Ce5Ni4,Al,0,1,1
Al88Ce10V2,Al,0,1,1
Al90Ce10V0,Al,0,1,1
Al91Ce9V0,Al,0,1,1
Al92Ce8V0,Al,0,1,1
Al93Ce7V0,Al,0,1,1
Al88Ce8V4,Al,0,1,0
Al88Ce12V0,Al,0,1,0
Al89Ce6V5,Al,0,1,0
Al89Ce11V0,Al,0,1,0
Al80Ce10V10,Al,0,1,0
Al85Ce10V5,Al,0,1,0
Al85Ce13V2,Al,0,1,0
Al87Ce13V0,Al,0,1,0
Al94Ce6V0,Al,0,1,0
Al94Ce2V4,Al,0,1,0
Al86Co12Fe2,Al,0,1,1
Al87Co11Fe2,Al,0,1,1
Al86Co14Fe0,Al,0,1,0
Al87Co9Fe4,Al,0,1,0
Al88Co2Fe10,Al,0,1,0
Al88Co4Fe8,Al,0,1,0
Al88Co6Fe6,Al,0,1,0
Al88Co8Fe4,Al,0,1,0
Al88Co10Fe2,Al,0,1,0
Al88Co12Fe0,Al,0,1,0
Al90Co0Fe10,Al,0,1,0
Al90Co2Fe8,Al,0,1,0
Al90Co4Fe6,Al,0,1,0
Al90Co6Fe4,Al,0,1,0
Al90Co8Fe2,Al,0,1,0
Al90Co10Fe0,Al,0,1,0
Al92Co0Fe8,Al,0,1,0
Al92Co2Fe6,Al,0,1,0
Al92Co4Fe4,Al,0,1,0
Al92Co6Fe2,Al,0,1,0
Al92Co8Fe0,Al,0,1,0
Al94Co0Fe6,Al,0,1,0
Al94Co2Fe4,Al,0,1,0
Al94Co4Fe2,Al,0,1,0
Al94Co6Fe0,Al,0,1,0
Al96Co0Fe4,Al,0,1,0
Al96Co2Fe2,Al,0,1,0
Al96Co4Fe0,Al,0,1,0
Al98Co0Fe2,Al,0,1,0
Al98Co2Fe0,Al,0,1,0
Al100Co0Fe0,Al,0,1,0
Al84Co12Fe4,Al,0,1,0
Al84Co14Fe2,Al,0,1,0
Al86Co4Fe10,Al,0,1,0
Al86Co6Fe8,Al,0,1,0
Al86Co8Fe6,Al,0,1,0
Al86Co10Fe4,Al,0,1,0
Al86Co12Fe2,Al,0,1,0
Al88Co0Fe12,Al,0,1,0
Al88Co2Fe10,Al,0,1,0
Al88Co4Fe8,Al,0,1,0
Al88Co6Fe6,Al,0,1,0
Al42Co10Ge48,Ge,0,1,1
Al57Co18Ge25,Al,0,1,1
Al69Co6Ge25,Al,0,1,1
Al78Co10Ge12,Al,0,1,1
Al25Co20La55,La,0,1,1
Al88Co8Mn4,Al,0,1,0
Al88Co10Mn2,Al,0,1,0
Al88Co12Mn0,Al,0,1,0
Al90Co6Mn4,Al,0,1,0
Al90Co8Mn2,Al,0,1,0
Al90Co10Mn0,Al,0,1,0
Al92Co4Mn4,Al,0,1,0
Al92Co6Mn2,Al,0,1,0
Al92Co8Mn0,Al,0,1,0
Al94Co4Mn2,Al,0,1,0
Al94Co6Mn0,Al,0,1,0
Al94Co0Mn6,Al,0,1,0
Al94Co2Mn4,Al,0,1,0
